order_id,customer_id,customer_name,customer_segment,customer_type,first_purchase_date,last_purchase_date,product_id,product_name,category,sub_category,brand,order_date,quantity,unit_price,discount_pct,sales_channel,payment_method,sales_rep,region,operating_expenses,cash_balance,debt_balance,monthly_burn,churn_flag
10014,C1345,Sofia Gomes,SMB,New,2022-10-28,2025-07-27,P1006,iPhone 15,Electronics,Smartphones,Apple,2025-07-27,1,951.44,0.00,Retail,Credit Card,Camila,North,169.14,11193.80,5711.38,422.31,0
10015,C0545,Igor Alves,Consumer,New,2022-10-11,2024-05-20,P1013,WF-1000XM5,Electronics,Audio,Sony,2024-05-20,1,267.56,0.05,Online,Debit Card,Diego,West,77.95,17046.11,2738.48,205.62,0
10016,C1285,Gabriel Teixeira,Consumer,New,2023-07-20,2025-11-14,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-11-14,1,329.52,0.20,Online,Credit Card,Ana,Central,62.74,9425.02,3479.24,427.56,0
10017,C1282,Ana Pereira,Corporate,New,2022-11-25,2025-02-20,P1015,IdeaPad 5,Electronics,Laptops,Lenovo,2025-02-20,1,790.29,0.20,Retail,Credit Card,Camila,West,150.55,18584.35,4993.21,310.34,1
10018,C0261,João Pereira,Consumer,New,2022-09-10,2025-10-23,P1016,MacBook Air M2,Electronics,Laptops,Apple,2025-10-23,2,1327.13,0.00,Online,Credit Card,Ana,West,196.75,13447.30,3703.53,423.86,1
10019,C1443,João Pereira,Consumer,New,2022-12-06,2024-02-10,P1003,iPad mini,Electronics,Tablets,Apple,2024-02-10,1,588.77,0.05,Retail,Cash,Camila,Central,198.43,7434.40,2045.28,132.64,1
10020,C0963,Beatriz Souza,Consumer,New,2023-01-22,2025-08-26,P1017,Charge 5,Electronics,Audio,JBL,2025-08-26,2,191.13,0.10,Online,Debit Card,Diego,East,40.02,14369.78,1316.48,242.46,0
10021,C1059,Renato Oliveira,Consumer,New,2023-05-21,2025-10-06,P1013,WF-1000XM5,Electronics,Audio,Sony,2025-10-06,1,268.79,0.00,Online,Credit Card,Camila,South,186.33,9953.75,5152.38,338.34,0
10022,C1692,Mateus Barbosa,SMB,New,2023-09-10,2024-10-12,P1016,MacBook Air M2,Electronics,Laptops,Apple,2024-10-12,1,1283.17,0.10,Retail,Cash,Bruno,East,70.51,13068.12,3694.25,247.73,0
10023,C1133,Rafael Mendes,SMB,New,2022-07-17,2025-06-16,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-06-16,1,1242.09,0.20,Online,Credit Card,Camila,South,285.28,11921.57,2899.66,319.51,1
10024,C0803,Renato Barbosa,SMB,New,2023-09-05,2025-04-15,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-04-15,1,1131.15,0.10,Online,Cash,Eduardo,West,13.01,14128.07,900.62,92.77,0
10025,C1014,Aline Silva,Consumer,New,2023-10-28,2024-10-10,P1018,MacBook Pro 14,Electronics,Laptops,Apple,2024-10-10,1,1973.57,0.00,Retail,Debit Card,Diego,Central,45.29,7720.37,3854.60,68.69,0
10026,C0287,Igor Mendes,Consumer,New,2022-08-16,2024-02-12,P1006,iPhone 15,Electronics,Smartphones,Apple,2024-02-12,2,963.41,0.05,Online,Debit Card,Diego,South,24.30,8805.63,3036.32,309.82,0
10027,C0229,Igor Mendes,Consumer,New,2023-01-14,2024-10-10,P1018,MacBook Pro 14,Electronics,Laptops,Apple,2024-10-10,1,1916.06,0.00,Online,Debit Card,Eduardo,East,270.96,9135.98,4940.21,139.30,0
10028,C0649,Rafael Teixeira,Consumer,New,2023-07-27,2024-07-27,P1001,MX Keys S,Electronics,Peripherals,Logitech,2024-07-27,2,100.58,0.00,Online,Debit Card,Camila,West,50.37,16439.08,4719.93,334.53,0
10029,C0496,Rafael Araújo,Corporate,New,2022-10-01,2024-08-13,P1019,ThinkPad E14,Electronics,Laptops,Lenovo,2024-08-13,1,1011.64,0.10,Online,Cash,Diego,West,77.72,15088.84,5060.36,343.96,1
10030,C1460,João Gomes,Corporate,New,2022-08-30,2025-01-28,P1020,Legion Slim 5,Electronics,Laptops,Lenovo,2025-01-28,2,1455.12,0.00,Retail,Credit Card,Diego,West,255.19,14607.89,2448.93,201.48,0
10031,C1023,Rafael Teixeira,Consumer,New,2022-07-12,2025-09-13,P1021,Tune 770NC,Electronics,Audio,JBL,2025-09-13,1,140.53,0.00,Retail,Debit Card,Bruno,West,75.80,9306.30,4472.78,246.80,1
10032,C0510,Mateus Teixeira,Consumer,New,2023-04-18,2025-09-06,P1001,MX Keys S,Electronics,Peripherals,Logitech,2025-09-06,3,117.03,0.10,Online,Debit Card,Ana,West,231.63,10317.87,671.68,304.68,0
10033,C0737,João Rocha,Consumer,New,2022-08-16,2025-04-01,P1022,XPS 13,Electronics,Laptops,Dell,2025-04-01,2,1213.67,0.00,Online,Credit Card,Camila,West,60.69,6049.74,3948.17,233.20,1
10034,C1060,Pedro Costa,Consumer,New,2022-10-31,2025-01-25,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-01-25,1,342.72,0.00,Retail,Credit Card,Eduardo,North,89.12,8382.30,1127.07,346.80,0
10035,C0306,Sofia Mendes,Consumer,New,2023-03-04,2024-07-09,P1022,XPS 13,Electronics,Laptops,Dell,2024-07-09,1,1259.84,0.05,Online,Credit Card,Ana,Central,213.62,17008.59,2708.10,55.07,0
10036,C1518,Gabriel Costa,Consumer,New,2022-10-28,2025-03-09,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2025-03-09,2,334.27,0.15,Online,Debit Card,Ana,North,94.87,13824.02,1179.51,87.73,0
10037,C1596,Larissa Martins,SMB,New,2023-08-14,2024-07-02,P1005,Latitude 5440,Electronics,Laptops,Dell,2024-07-02,1,1281.90,0.00,Online,Cash,Camila,Central,262.50,13213.87,2144.34,159.83,1
10038,C0807,Sofia Souza,Consumer,New,2023-08-22,2024-06-08,P1023,Galaxy A55,Electronics,Smartphones,Samsung,2024-06-08,2,478.40,0.10,Online,Debit Card,Diego,South,152.12,5515.42,958.65,345.94,0
10039,C0332,Thiago Mendes,Consumer,New,2023-01-13,2025-01-21,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-01-21,1,317.80,0.05,Online,Debit Card,Eduardo,Central,235.68,10542.42,422.41,365.79,0
10040,C1326,Carlos Martins,Consumer,New,2023-06-12,2025-08-14,P1024,Galaxy Tab S9 FE,Electronics,Tablets,Samsung,2025-08-14,2,570.90,0.15,Online,Credit Card,Eduardo,West,50.88,8289.14,4372.93,97.11,0
10041,C0753,Patrícia Costa,Consumer,New,2023-03-29,2025-02-26,P1010,Brio 500,Electronics,Peripherals,Logitech,2025-02-26,1,124.86,0.00,Online,Debit Card,Bruno,West,250.72,7157.41,5528.79,226.55,0
10042,C1210,Lucas Barbosa,Corporate,New,2023-07-17,2025-10-26,P1025,USB-C Dock G5,Electronics,Peripherals,HP,2025-10-26,3,195.70,0.00,Retail,Cash,Camila,West,134.97,6254.26,340.19,206.08,0
10043,C0420,Renato Gomes,Consumer,New,2022-09-23,2024-09-08,P1026,Inspiron 15,Electronics,Laptops,Dell,2024-09-08,2,796.58,0.20,Online,Credit Card,Diego,West,285.21,5835.03,943.30,381.50,0
10044,C0603,Mariana Araújo,Consumer,New,2023-03-07,2025-05-03,P1018,MacBook Pro 14,Electronics,Laptops,Apple,2025-05-03,1,2152.96,0.15,Online,Credit Card,Camila,Central,63.11,16949.36,286.20,128.52,0
10045,C1457,Fernanda Pereira,Consumer,New,2023-08-30,2025-06-05,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-06-05,1,330.11,0.00,Online,Debit Card,Diego,East,203.51,10163.26,4118.74,103.20,0
10046,C1059,Renato Oliveira,Consumer,Returning,2023-05-21,2025-10-06,P1021,Tune 770NC,Electronics,Audio,JBL,2025-03-19,2,137.94,0.15,Online,Debit Card,Ana,South,299.35,10012.57,5318.89,338.34,0
10047,C0901,Ana Martins,SMB,New,2023-04-25,2024-05-27,P1027,320K Keyboard,Electronics,Peripherals,HP,2024-05-27,1,41.59,0.00,Online,Credit Card,Ana,North,105.30,15557.68,3416.45,267.26,0
10048,C1166,Ana Oliveira,Corporate,New,2023-06-12,2025-07-14,P1023,Galaxy A55,Electronics,Smartphones,Samsung,2025-07-14,1,538.16,0.00,Retail,Credit Card,Ana,East,235.99,7153.63,4411.00,405.88,1
10049,C0340,Rafael Mendes,Consumer,New,2023-02-02,2024-03-22,P1028,Galaxy Tab S9,Electronics,Tablets,Samsung,2024-03-22,1,943.83,0.05,Online,Credit Card,Diego,East,189.73,10804.25,222.00,180.87,0
10050,C1520,Ana Rocha,SMB,New,2022-10-30,2025-06-23,P1016,MacBook Air M2,Electronics,Laptops,Apple,2025-06-23,1,1336.82,0.10,Online,Credit Card,Eduardo,South,81.67,14622.29,3663.68,227.06,1
10051,C0673,Aline Teixeira,Consumer,New,2023-04-15,2025-02-18,P1029,Galaxy Tab A9+,Electronics,Tablets,Samsung,2025-02-18,1,303.39,0.15,Online,Cash,Eduardo,South,272.10,8219.21,872.79,361.83,1
10052,C0951,Lucas Pereira,Consumer,New,2023-02-05,2025-07-09,P1003,iPad mini,Electronics,Tablets,Apple,2025-07-09,1,590.63,0.05,Online,Credit Card,Bruno,South,203.90,15897.19,3970.86,91.48,1
10053,C1588,Igor Lima,SMB,New,2022-12-13,2025-02-19,P1015,IdeaPad 5,Electronics,Laptops,Lenovo,2025-02-19,1,754.77,0.05,Online,Cash,Ana,East,84.59,8490.76,599.47,449.02,0
10054,C0812,Mateus Costa,Consumer,New,2023-03-11,2024-08-28,P1021,Tune 770NC,Electronics,Audio,JBL,2024-08-28,1,151.64,0.00,Online,Credit Card,Diego,North,43.00,8741.50,1826.22,336.08,0
10055,C0308,Beatriz Lima,Consumer,New,2023-11-10,2025-12-15,P1030,Flip 6,Electronics,Audio,JBL,2025-12-15,2,139.15,0.00,Online,Credit Card,Camila,East,217.15,13020.91,2225.36,348.60,0
10056,C0635,João Pereira,Corporate,New,2022-08-29,2024-03-25,P1020,Legion Slim 5,Electronics,Laptops,Lenovo,2024-03-25,3,1424.60,0.15,Online,Credit Card,Diego,West,45.12,10692.61,5493.26,355.72,0
10057,C1078,Aline Teixeira,Consumer,New,2022-12-27,2024-05-21,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2024-05-21,1,354.93,0.00,Online,Debit Card,Ana,West,198.80,13630.96,2716.81,366.17,0
10058,C1746,Vanessa Lima,Consumer,New,2022-08-28,2025-04-29,P1020,Legion Slim 5,Electronics,Laptops,Lenovo,2025-04-29,1,1367.38,0.05,Online,Debit Card,Diego,West,260.55,11470.60,2137.03,302.12,0
10059,C0634,Sofia Alves,Consumer,New,2023-09-26,2025-04-17,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-04-17,1,310.85,0.00,Online,Credit Card,Ana,West,50.84,12989.45,3987.05,122.95,0
10060,C0682,Larissa Gomes,Consumer,New,2023-01-31,2025-05-08,P1025,USB-C Dock G5,Electronics,Peripherals,HP,2025-05-08,1,186.98,0.10,Retail,Debit Card,Eduardo,East,300.73,13436.23,2647.44,185.81,0
10061,C0070,Pedro Barbosa,SMB,New,2023-11-12,2024-12-19,P1026,Inspiron 15,Electronics,Laptops,Dell,2024-12-19,1,692.84,0.15,Online,Credit Card,Diego,West,214.77,7186.35,205.58,102.48,0
10062,C0663,Igor Mendes,Consumer,New,2023-01-13,2025-12-25,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-12-25,1,1163.47,0.20,Online,Debit Card,Ana,South,305.92,6960.35,3635.27,330.52,0
10063,C0686,Mateus Barbosa,SMB,New,2023-06-19,2025-06-09,P1004,Galaxy S24,Electronics,Smartphones,Samsung,2025-06-09,1,964.74,0.20,Online,Credit Card,Ana,East,231.10,6182.85,602.64,236.25,0
10064,C0006,Sofia Teixeira,SMB,New,2023-02-10,2024-08-04,P1031,Xiaomi 14,Electronics,Smartphones,Xiaomi,2024-08-04,1,924.94,0.15,Retail,Credit Card,Diego,Central,318.04,5543.56,1405.14,158.65,0
10065,C0891,Igor Araújo,Consumer,New,2023-07-25,2025-04-10,P1025,USB-C Dock G5,Electronics,Peripherals,HP,2025-04-10,4,201.90,0.00,Retail,Credit Card,Camila,East,17.52,11675.14,887.20,311.25,1
10066,C0129,Vanessa Alves,SMB,New,2023-08-11,2025-09-15,P1022,XPS 13,Electronics,Laptops,Dell,2025-09-15,1,1386.93,0.15,Online,Credit Card,Ana,South,217.88,15981.18,5391.89,163.90,1
10067,C0009,Fernanda Mendes,Consumer,New,2022-07-14,2025-04-05,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-04-05,1,302.80,0.00,Online,Cash,Eduardo,Central,301.49,6697.49,2103.92,355.01,0
10068,C1501,Thiago Araújo,SMB,New,2022-11-04,2025-09-06,P1027,320K Keyboard,Electronics,Peripherals,HP,2025-09-06,2,38.98,0.10,Online,Debit Card,Ana,South,297.09,14152.48,3160.45,306.35,0
10069,C0363,Beatriz Souza,Consumer,New,2022-10-27,2025-12-02,P1014,WH-1000XM5,Electronics,Audio,Sony,2025-12-02,1,319.99,0.00,Online,Credit Card,Camila,South,214.50,8318.50,2154.96,438.46,0
10070,C0874,Renato Alves,Consumer,New,2023-09-09,2024-04-09,P1023,Galaxy A55,Electronics,Smartphones,Samsung,2024-04-09,2,482.14,0.30,Online,Debit Card,Ana,South,280.95,12038.27,5451.86,267.83,0
10071,C0491,Mateus Alves,Consumer,New,2023-08-13,2024-04-26,P1006,iPhone 15,Electronics,Smartphones,Apple,2024-04-26,2,973.03,0.05,Retail,Credit Card,Eduardo,North,160.22,18383.25,5061.31,442.26,0
10072,C0730,Pedro Oliveira,Consumer,New,2023-05-20,2025-02-01,P1032,DeathAdder V3,Electronics,Peripherals,Razer,2025-02-01,3,79.57,0.00,Online,Cash,Ana,North,61.99,10892.10,3398.84,423.37,0
10073,C1413,Fernanda Souza,Consumer,New,2022-07-23,2024-12-25,P1017,Charge 5,Electronics,Audio,JBL,2024-12-25,1,189.12,0.15,Online,Cash,Diego,South,63.60,10668.61,1001.54,369.29,1
10074,C1201,Gabriel Pereira,SMB,New,2022-07-20,2024-08-20,P1010,Brio 500,Electronics,Peripherals,Logitech,2024-08-20,3,137.95,0.15,Online,Credit Card,Camila,East,73.33,9751.54,5507.83,425.33,0
10075,C0008,Rafael Martins,Consumer,New,2022-08-10,2025-01-16,P1033,SRS-XB100,Electronics,Audio,Sony,2025-01-16,2,58.20,0.15,Retail,Cash,Ana,South,271.65,13112.57,1040.69,338.94,0
10076,C0239,Ana Martins,Corporate,New,2023-11-30,2025-07-20,P1021,Tune 770NC,Electronics,Audio,JBL,2025-07-20,4,154.39,0.05,Online,Credit Card,Camila,South,108.11,7476.53,3805.28,401.07,0
10077,C0219,Juliana Mendes,Consumer,New,2022-08-06,2024-05-20,P1007,iPhone 14,Electronics,Smartphones,Apple,2024-05-20,1,839.36,0.30,Online,Cash,Ana,Central,124.05,17746.84,1388.03,184.69,0
10078,C0834,Igor Gomes,Corporate,New,2023-01-17,2024-07-08,P1034,iPhone 15 Plus,Electronics,Smartphones,Apple,2024-07-08,1,1163.97,0.20,Online,Cash,Camila,North,41.31,12034.01,3458.07,152.08,0
10079,C0254,Aline Costa,SMB,New,2023-04-18,2024-03-21,P1035,Galaxy S24 Ultra,Electronics,Smartphones,Samsung,2024-03-21,1,1252.55,0.15,Online,Credit Card,Ana,Central,300.04,12369.45,2747.44,63.67,0
10080,C1132,Rafael Costa,Consumer,New,2023-11-12,2024-02-11,P1013,WF-1000XM5,Electronics,Audio,Sony,2024-02-11,1,295.87,0.00,Online,Debit Card,Bruno,North,41.05,15632.36,5157.87,105.73,0
10081,C0977,Ana Ribeiro,Corporate,New,2023-08-05,2025-07-08,P1034,iPhone 15 Plus,Electronics,Smartphones,Apple,2025-07-08,1,1039.00,0.20,Retail,Credit Card,Camila,South,69.02,13960.44,2799.80,230.33,0
10082,C0213,Igor Pereira,Consumer,New,2022-11-05,2024-08-11,P1013,WF-1000XM5,Electronics,Audio,Sony,2024-08-11,2,262.33,0.10,Retail,Debit Card,Bruno,West,13.63,13372.33,2866.69,297.14,0
10083,C1628,Gabriel Silva,Consumer,New,2022-08-11,2025-07-14,P1001,MX Keys S,Electronics,Peripherals,Logitech,2025-07-14,1,107.77,0.10,Online,Cash,Camila,East,53.95,16361.68,665.13,423.04,0
10084,C1185,Lucas Pereira,Consumer,New,2023-11-02,2024-05-07,P1035,Galaxy S24 Ultra,Electronics,Smartphones,Samsung,2024-05-07,1,1248.08,0.10,Online,Credit Card,Eduardo,South,242.01,15222.89,3040.78,44.46,1
10085,C1668,João Barbosa,SMB,New,2023-06-24,2024-09-11,P1033,SRS-XB100,Electronics,Audio,Sony,2024-09-11,1,55.00,0.30,Retail,Debit Card,Diego,South,309.29,12519.49,4214.84,399.13,0
10086,C0006,Sofia Teixeira,SMB,Returning,2023-02-10,2025-12-13,P1036,AirPods Pro,Electronics,Audio,Apple,2025-12-13,1,233.34,0.00,Online,Debit Card,Ana,East,112.13,5140.88,1427.36,158.65,0
10087,C1394,Mariana Pereira,Consumer,New,2023-08-12,2025-10-12,P1031,Xiaomi 14,Electronics,Smartphones,Xiaomi,2025-10-12,1,883.06,0.00,Online,Cash,Bruno,West,162.59,4863.78,2458.82,130.74,0
10088,C0007,Pedro Araújo,Consumer,New,2023-10-12,2024-03-02,P1019,ThinkPad E14,Electronics,Laptops,Lenovo,2024-03-02,1,1103.27,0.00,Online,Credit Card,Camila,East,66.53,13819.85,2161.41,191.77,0
10089,C1562,Larissa Silva,Consumer,New,2022-11-07,2024-12-22,P1037,AirPods 3,Electronics,Audio,Apple,2024-12-22,1,171.10,0.00,Retail,Cash,Diego,East,61.42,6432.62,775.95,182.95,0
10090,C0036,Pedro Teixeira,Consumer,New,2023-07-10,2025-01-28,P1027,320K Keyboard,Electronics,Peripherals,HP,2025-01-28,1,41.80,0.05,Retail,Credit Card,Camila,Central,90.48,11231.11,1970.24,443.38,0
10091,C1058,Igor Teixeira,Consumer,New,2022-08-24,2024-01-21,P1027,320K Keyboard,Electronics,Peripherals,HP,2024-01-21,1,41.85,0.00,Retail,Credit Card,Bruno,Central,275.60,7087.45,2745.71,323.65,0
10092,C0375,Rafael Araújo,Consumer,New,2022-12-16,2024-06-01,P1036,AirPods Pro,Electronics,Audio,Apple,2024-06-01,4,242.12,0.10,Online,Debit Card,Ana,West,71.57,5051.46,3410.69,416.15,0
10093,C1566,Igor Souza,Consumer,New,2023-03-14,2025-08-23,P1016,MacBook Air M2,Electronics,Laptops,Apple,2025-08-23,1,1278.62,0.15,Online,Debit Card,Ana,West,157.33,6017.58,3820.36,344.71,0
10094,C0094,João Teixeira,Consumer,New,2023-09-21,2024-09-03,P1029,Galaxy Tab A9+,Electronics,Tablets,Samsung,2024-09-03,1,298.67,0.05,Online,Debit Card,Ana,Central,287.94,14863.10,3727.54,377.94,1
10095,C0420,Renato Gomes,Consumer,Returning,2022-09-23,2024-09-08,P1018,MacBook Pro 14,Electronics,Laptops,Apple,2024-03-15,1,2155.65,0.05,Online,Credit Card,Bruno,South,126.23,4164.03,912.08,381.50,0
10096,C1204,Mariana Ribeiro,SMB,New,2023-11-03,2025-08-25,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-08-25,2,1274.41,0.00,Retail,Debit Card,Ana,East,255.66,12344.59,973.05,83.17,0
10097,C1559,Juliana Alves,Consumer,New,2022-10-07,2024-10-10,P1007,iPhone 14,Electronics,Smartphones,Apple,2024-10-10,1,819.11,0.10,Online,Cash,Bruno,West,285.34,6257.80,3098.34,102.07,0
10098,C0470,Beatriz Rocha,Consumer,New,2022-08-30,2025-03-13,P1028,Galaxy Tab S9,Electronics,Tablets,Samsung,2025-03-13,1,961.52,0.15,Online,Credit Card,Ana,Central,18.58,15345.34,4285.94,207.78,0
10099,C0322,Lucas Mendes,Consumer,New,2022-10-11,2024-07-02,P1035,Galaxy S24 Ultra,Electronics,Smartphones,Samsung,2024-07-02,1,1238.53,0.00,Online,Debit Card,Bruno,Central,53.43,10759.16,3148.57,320.73,0
10100,C0419,Larissa Rocha,Consumer,New,2023-03-13,2025-03-18,P1005,Latitude 5440,Electronics,Laptops,Dell,2025-03-18,1,1115.22,0.20,Online,Credit Card,Camila,North,176.17,12025.02,1123.49,167.56,0
10101,C0223,Ana Lima,SMB,New,2023-05-15,2024-03-15,P1004,Galaxy S24,Electronics,Smartphones,Samsung,2024-03-15,1,842.68,0.00,Retail,Credit Card,Eduardo,Central,284.22,9339.38,5807.12,349.54,0
10102,C1212,Pedro Teixeira,SMB,New,2023-06-10,2025-04-08,P1038,M10 Plus,Electronics,Tablets,Lenovo,2025-04-08,1,268.81,0.05,Online,Cash,Diego,South,200.17,10004.66,2395.82,234.95,1
10103,C0533,Pedro Pereira,Consumer,New,2023-02-27,2024-07-19,P1036,AirPods Pro,Electronics,Audio,Apple,2024-07-19,1,244.04,0.05,Retail,Cash,Ana,South,289.46,4233.32,4541.00,42.92,0
10104,C0232,Aline Oliveira,Consumer,New,2022-07-31,2025-08-17,P1017,Charge 5,Electronics,Audio,JBL,2025-08-17,2,188.07,0.00,Online,Cash,Bruno,South,291.66,11914.05,3312.88,317.11,0
10105,C0152,Fernanda Alves,Consumer,New,2023-06-19,2024-12-13,P1031,Xiaomi 14,Electronics,Smartphones,Xiaomi,2024-12-13,1,840.53,0.00,Online,Cash,Ana,West,163.08,17300.92,749.14,349.32,0
10106,C1618,Renato Gomes,Consumer,New,2023-03-01,2025-06-14,P1031,Xiaomi 14,Electronics,Smartphones,Xiaomi,2025-06-14,1,890.71,0.05,Online,Credit Card,Camila,West,62.71,15899.53,5973.53,61.72,0
10107,C0062,Vanessa Costa,Consumer,New,2023-08-06,2025-11-11,P1004,Galaxy S24,Electronics,Smartphones,Samsung,2025-11-11,1,951.20,0.10,Online,Credit Card,Eduardo,North,37.45,13617.50,583.32,207.12,0
10108,C0202,Thiago Teixeira,Consumer,New,2023-07-21,2025-01-15,P1018,MacBook Pro 14,Electronics,Laptops,Apple,2025-01-15,1,2040.85,0.25,Online,Credit Card,Camila,East,128.75,6827.02,3850.96,324.53,0
10109,C1323,Juliana Costa,Consumer,New,2023-08-06,2024-06-12,P1034,iPhone 15 Plus,Electronics,Smartphones,Apple,2024-06-12,1,1154.00,0.10,Online,Credit Card,Diego,Central,292.36,8320.63,1176.72,425.65,0
10110,C1564,Gabriel Lima,SMB,New,2022-10-14,2024-11-17,P1031,Xiaomi 14,Electronics,Smartphones,Xiaomi,2024-11-17,1,832.89,0.05,Online,Debit Card,Ana,East,284.82,10885.08,5446.52,145.31,1
10111,C0182,Thiago Oliveira,Consumer,New,2023-05-19,2025-06-26,P1016,MacBook Air M2,Electronics,Laptops,Apple,2025-06-26,1,1273.59,0.00,Online,Debit Card,Eduardo,South,317.13,4819.66,5357.99,384.06,0
10112,C0636,Igor Teixeira,Consumer,New,2023-10-29,2024-02-12,P1027,320K Keyboard,Electronics,Peripherals,HP,2024-02-12,2,36.13,0.05,Online,Credit Card,Eduardo,Central,183.94,14648.63,1224.48,384.20,0
10113,C0035,Lucas Mendes,Consumer,New,2023-02-17,2024-07-08,P1039,235 Wireless Mouse,Electronics,Peripherals,HP,2024-07-08,1,26.96,0.15,Retail,Cash,Camila,Central,50.27,7689.17,1589.97,422.64,1
10114,C0011,Mateus Souza,Consumer,New,2023-05-14,2025-10-21,P1002,Redmi Note 13,Electronics,Smartphones,Xiaomi,2025-10-21,1,374.04,0.05,Retail,Credit Card,Diego,South,174.72,7404.21,1355.64,270.16,0
10115,C0318,Mateus Ribeiro,Consumer,Returning,2023-05-16,2025-05-08,P1033,SRS-XB100,Electronics,Audio,Sony,2025-02-13,2,57.07,0.00,Online,Debit Card,Camila,West,103.66,8493.22,2910.50,110.74,1
10116,C1550,Fernanda Gomes,SMB,New,2023-08-05,2025-06-25,P1040,Kiyo Pro,Electronics,Peripherals,Razer,2025-06-25,1,139.56,0.25,Online,Credit Card,Ana,West,101.82,6032.92,5199.07,427.20,0
10117,C0727,Gabriel Rocha,Consumer,New,2023-11-15,2024-02-13,P1029,Galaxy Tab A9+,Electronics,Tablets,Samsung,2024-02-13,1,312.81,0.10,Online,Credit Card,Bruno,East,71.03,15252.80,4756.17,47.69,1
10118,C1370,Vanessa Souza,Corporate,New,2023-10-03,2025-02-25,P1034,iPhone 15 Plus,Electronics,Smartphones,Apple,2025-02-25,2,1162.84,0.05,Retail,Credit Card,Ana,South,237.08,16564.52,3560.23,292.82,0
